Fixation Duration (mean), Fixation Duration (variance), Fixation Duration (standard deviation), Fixation Rate (per second), Fixation Slope, Number of VSEditor Fixations, Number of VSExplorer Fixations, Number of VSOutput Fixations, Number of Short Saccades, Number of Medium Saccades, Number of Long Saccades, Follow Direction Count, Neighbouring Direction Count, Opposite Direction Count, Sector4 Right Count, Sector4 Up Count, Sector4 Left Count, Sector4 Down Count
360.129032258065, 23549.5678160919, 153.458684394504, 2.72727272727273, -0.107212937816626, 0, 0, 0, 20, 7, 2, 4, 6, 18, 9, 4, 10, 6, SEARCH
656.12, 314218.172101449, 560.551667646658, 1.5, 0.0309353378641745, 0, 0, 0, 13, 9, 1, 6, 7, 9, 9, 3, 10, 1, WATCH
888.529411764706, 697292.195833333, 835.040236056523, 1.06666666666667, 0.164606569753713, 0, 0, 0, 7, 6, 2, 2, 6, 6, 6, 3, 4, 2, WATCH
831.421052631579, 839578.251633987, 916.285027507264, 1.2, 0.155090205128183, 0, 0, 0, 5, 8, 4, 4, 4, 8, 7, 2, 8, 0, WATCH
794.684210526316, 862696.264705882, 928.814440405554, 1.2, -0.0576202047011285, 0, 0, 0, 5, 10, 2, 4, 4, 8, 7, 1, 8, 1, WATCH
752.75, 534323.801169591, 730.974555760726, 1.26666666666667, -0.221852039673564, 0, 0, 0, 5, 8, 5, 6, 6, 5, 7, 2, 7, 2, WATCH
953.6875, 877865.066666667, 936.944537668408, 1, -0.162348240731711, 0, 0, 0, 2, 9, 3, 4, 3, 6, 6, 2, 6, 0, WATCH
1014.8, 1269028.68131868, 1126.51173154951, 0.933333333333333, -0.00711711549152276, 0, 0, 0, 4, 9, 0, 2, 3, 7, 6, 0, 5, 2, WATCH
678.826086956522, 158560.703463203, 398.196814983751, 1.46666666666667, 0.186117988321745, 0, 0, 0, 8, 11, 2, 3, 8, 9, 8, 2, 8, 3, WATCH
731.428571428571, 220323.263157895, 469.386049172634, 1.33333333333333, 0.126484833301633, 0, 0, 0, 8, 9, 2, 3, 5, 10, 8, 1, 8, 2, WATCH
675, 271040.989177489, 520.615970920495, 1.46666666666667, 0.078099831811419, 0, 0, 0, 11, 8, 2, 1, 9, 10, 7, 4, 6, 4, WATCH
632.416666666667, 176392.537549407, 419.991116036288, 1.53333333333333, 0.263506580066916, 0, 0, 0, 12, 10, 0, 3, 11, 7, 5, 5, 6, 6, WATCH
541.464285714286, 133122.49002849, 364.859548358666, 1.8, -0.161143424941332, 0, 0, 0, 15, 11, 0, 3, 17, 5, 7, 5, 8, 6, WATCH
422.861111111111, 88050.8789915966, 296.73368361478, 2.33333333333333, -0.230646288568311, 0, 0, 0, 22, 12, 0, 3, 21, 9, 10, 5, 10, 9, WATCH
417.891891891892, 54483.1142857143, 233.416182570349, 2.4, 0.113834067912039, 0, 0, 0, 20, 14, 1, 3, 18, 13, 10, 4, 12, 9, WATCH
472.53125, 98794.7806451613, 314.31637031049, 2.06666666666667, 0.225848288691366, 0, 0, 0, 12, 15, 3, 2, 12, 15, 10, 3, 13, 4, WATCH
619.807692307692, 262320.666666667, 512.172496983845, 1.5625, -0.161431657263948, 0, 0, 0, 12, 10, 2, 3, 5, 15, 10, 2, 11, 1, WATCH
594.444444444444, 247648.621538462, 497.643066402479, 1.625, -0.0460165210918146, 0, 0, 0, 9, 16, 0, 4, 9, 11, 9, 4, 8, 4, WATCH
656.695652173913, 263214.735930736, 513.044574993963, 1.46666666666667, 0.0870963395751156, 0, 0, 0, 8, 13, 0, 3, 9, 8, 7, 4, 7, 3, WATCH
